Anthem,Tempo,Spectral Centroid,Spectral Bandwidth,Spectral Rolloff,Zero-Crossing Rate,Chroma Features,Harmonic-to-Noise Ratio
st.mp3,[161.49902344],1735.270619921616,1823.3461761036153,3252.995608651809,0.09601370061347551,0.27429342,0.10368717
mx.mp3,[103.359375],1372.4214091836936,1507.7537005800918,2581.2349849615616,0.08006040781178686,0.3050215,0.07829952
az.mp3,[135.99917763],1445.51093132791,1659.0493874011665,2740.301793886049,0.07944580722295515,0.31473637,0.10429661
mq.mp3,[129.19921875],1589.5131695382331,1960.256249702609,3157.870498285061,0.06969305219722456,0.30125058,0.04716737
va.mp3,[99.38401442],1494.5172521573465,1672.9484990598755,2956.148007118639,0.0801000425693111,0.29191488,0.036599234
af.mp3,[117.45383523],1667.5234047399338,1685.9586517792516,3085.6006119750823,0.10337502205536386,0.30789796,0.07964778
et.mp3,[95.703125],1760.6614757501075,1961.9422041110854,3505.0757590872618,0.08744521327995583,0.294669,0.121953264
ga.mp3,[103.359375],1484.3896065981949,1723.7604209732553,2916.6687863372094,0.075246249480897,0.2819591,0.04047664
nr.mp3,[75.99954044],1346.3306136055453,1273.1807849416139,2390.8701467977257,0.0966998109545187,0.2875334,0.12210163
at.mp3,[117.45383523],1981.8133980075074,2242.149743292343,4056.777846466951,0.09289335512026711,0.29205862,0.07221225
gu.mp3,[89.10290948],1788.0871124491782,1895.058418974435,3460.4246259608344,0.09886015281844802,0.30790934,0.08097821
tn.mp3,[112.34714674],1991.2659772781076,2180.1485169452567,4083.265842206192,0.0983282046134249,0.28565496,0.10739249
de.mp3,[69.83741554],1558.8203435607886,1713.803591315899,2940.254258302312,0.08790424789380878,0.29875606,0.078438975
ca.mp3,[89.10290948],1589.9949702750184,1822.884727658269,3097.9004480529625,0.08300910462915319,0.33512804,0.11863662
sr.mp3,[80.74951172],1244.8184644075932,1428.7881773711372,2441.094180412405,0.06355667275147617,0.32046968,0.096358836
nu.mp3,[135.99917763],1576.5701423671294,1358.6860128786082,2736.4057489809784,0.09498624320652174,0.19984838,0.14710796
sd.mp3,[92.28515625],2297.5897562238247,2573.9721791860193,5162.462041916072,0.09923874888563423,0.38764122,0.0817602
py.mp3,[123.046875],1220.3482391377058,1427.1004970529987,2359.8014212943413,0.0640582052550083,0.28560656,0.029608041
vg.mp3,[129.19921875],1303.6931334948624,1226.7759391370394,2341.3346579831023,0.09500127359320841,0.26064453,0.05367039
ht.mp3,[112.34714674],1676.5648376408706,1797.0385456167003,3222.071418042453,0.09428772356525157,0.32913023,0.07173509
la.mp3,[143.5546875],1831.0092350636025,2027.0089619439877,3666.9474171139195,0.09157617908875808,0.28048906,0.06355625
rw.mp3,[89.10290948],1838.860777931536,2069.8370225567605,3737.4514580890973,0.08813930416282867,0.36694145,0.10465715
ag.mp3,[73.828125],893.9021634801918,930.663809807915,1610.8059601598254,0.06257281387061403,0.29627076,0.11379523
th.mp3,[92.28515625],1836.1787593311476,1944.2685795497055,3620.529433809963,0.09617724943990512,0.26912096,0.11325597
tl.mp3,[143.5546875],1295.4583472423913,1518.586843360965,2545.531677540213,0.06744599363622167,0.30356854,0.043600865
it.mp3,[112.34714674],1228.7634746699391,1391.6891861082806,2275.9755234815866,0.06949012553638607,0.29751882,0.073683426
bb.mp3,[107.66601562],2183.0091301409157,2080.0704616738167,4353.23128187952,0.12260384767930933,0.2863746,0.07938846
fj.mp3,[92.28515625],1271.7336871744212,1337.1335438920394,2271.1989369885673,0.07997420738483298,0.28864372,0.11070865
li.mp3,[143.5546875],1536.047239531727,1829.8096548915269,2951.155758219491,0.07722622872450385,0.30913407,0.08640016
iq.mp3,[107.66601562],1452.9610359091118,1782.3255630095364,2933.337695613842,0.06692046816453603,0.30365184,0.09457167
id.mp3,[99.38401442],1872.481747327982,1968.3697818000244,3755.698700633383,0.10215390558468171,0.32269046,0.11236651
dm.mp3,[92.28515625],1689.1903616979325,1796.0302886460113,3310.8065202902844,0.08946654694905214,0.33311188,0.051559772
ws.mp3,[89.10290948],1223.502079382848,1183.9970539455112,2157.767312636626,0.08523698330683625,0.31784743,0.0464573
in.mp3,[54.97839096],1442.6435133512273,1656.0653253964044,2844.949840360691,0.07387625888625593,0.29198077,0.058949538
om.mp3,[67.99958882],1275.8505432787392,1479.2522456457498,2299.890116805159,0.07022667242302202,0.27576128,0.1083354
ci.mp3,[103.359375],1496.1566706796687,1665.2006328912946,2804.692481124161,0.07797015913380873,0.32275328,0.08686632
pn.mp3,[117.45383523],1062.8377875052518,1133.1905080422302,1921.5267141241777,0.07345709549753289,0.3213171,0.04685948
ee.mp3,[73.828125],1455.6308147804687,1588.048986669691,2675.567337158738,0.08091808288440468,0.2746319,0.086822145
eh.mp3,[99.38401442],1063.0020174821386,1195.980482193033,1913.900424953085,0.055057778457982424,0.24752656,0.09246792
pa.mp3,[99.38401442],1708.2628701229191,1807.1784904200622,3331.2102013094072,0.09212418554398392,0.31234145,0.07986332
ec.mp3,[112.34714674],1185.1158397808929,1406.275204578104,2210.918173982049,0.06518215484530064,0.29799452,0.08770576
mw.mp3,[78.30255682],1661.8025700757403,1729.2582700177695,3144.2854403171077,0.09318252031668901,0.2697895,0.07638524
gw.mp3,[92.28515625],1913.5297111006737,1997.8772335456777,3833.190343355339,0.10265155592231152,0.33702356,0.081401095
uz.mp3,[86.1328125],1339.8612277036193,1544.1289233984758,2507.08569781945,0.07412954850079428,0.3179518,0.089169666
dz.mp3,[117.45383523],1585.063792302292,1763.1968420134408,3138.3603689752044,0.08392792881686478,0.30872032,0.039898366
kg.mp3,[103.359375],2202.7939124132104,2373.8241494727727,4696.911690034062,0.10264348409262049,0.2891942,0.1360217
cr.mp3,[103.359375],1099.0028854257278,1311.4326310937963,2116.805217416038,0.06201790213433939,0.33980703,0.072450995
bj.mp3,[107.66601562],2039.0469350784797,2041.1919313770065,4049.668642414306,0.11268849227576172,0.30896792,0.110224344
bl.mp3,[80.74951172],2522.084816142504,2190.7120272532156,4800.292423522797,0.15111941202698512,0.33762702,0.15024881
ao.mp3,[95.703125],1677.8888592945407,2020.3502648763315,3557.4724810830794,0.06990100993553415,0.28877082,0.09982264
my.mp3,[112.34714674],1618.428500228144,1798.6011138766291,3115.3157358781177,0.08602873861836896,0.32008404,0.102400586
zm.mp3,[92.28515625],1321.8842285847193,1589.7341013135167,2353.326622730058,0.07298262186819172,0.26955765,0.12540115
tj.mp3,[61.5234375],1511.375671092123,1730.5116477119784,2994.4326384171195,0.07554084983178054,0.29249585,0.111899555
za.mp3,[78.30255682],1387.682448773504,1460.403254708201,2560.471927248497,0.08333422694410261,0.31112248,0.08238962
bg.mp3,[64.59960938],1449.2851165680256,1507.4657408995372,2749.600040211397,0.08330862586970272,0.30019176,0.074707605
vn.mp3,[143.5546875],2300.7112593501165,2315.8307556395416,4747.408836246154,0.11838875409852656,0.32667238,0.08696162
lk.mp3,[92.28515625],1363.5735904869323,1751.2050494052123,2740.1623530288366,0.061130826403196864,0.28224447,0.15366152
gd.mp3,[80.74951172],1303.4794417047349,1323.6320267201652,2386.3223847040913,0.08718113582081388,0.29796812,0.057351742
tz.mp3,[161.49902344],1287.8026823302894,1555.4493969932714,2297.9447118766884,0.07078275375675372,0.2647465,0.11525295
lt.mp3,[75.99954044],1747.3297207803591,2122.3255788869487,3633.674380932152,0.08196058884857019,0.32241485,0.10345279
il.mp3,[107.66601562],1440.7691334816739,1649.9979293038975,2611.90077905136,0.07933272504299563,0.31302145,0.099338785
cw.mp3,[92.28515625],1321.8094832326872,1321.3886946364219,2408.8378475761792,0.08650509870233634,0.30769503,0.05552166
ms.mp3,[80.74951172],1194.636039410341,1220.9864330561436,2143.3679306370273,0.07797092160420886,0.30464217,0.048467163
ad.mp3,[99.38401442],1608.1291116738219,1535.3177431182498,3005.9345129696053,0.1053733470224449,0.2693997,0.06662314
ax.mp3,[71.77734375],994.2754994326202,992.9294084700931,1661.1982098572907,0.07249447216812722,0.26495948,0.038320575
ua.mp3,[99.38401442],1657.8096368121235,1838.8334193278847,3172.952353324701,0.09296778113145608,0.28919172,0.09938304
ml.mp3,[75.99954044],1591.4876891155004,1900.0570390506348,3258.478825266768,0.07013300985409408,0.30008924,0.13608651
pt.mp3,[107.66601562],1463.0264657051666,1597.190835668145,2729.0909086496645,0.0848319911261597,0.29071683,0.086125314
ai.mp3,[123.046875],1740.6228387252304,1958.187219817639,3502.6002714218193,0.08623304627261269,0.26887316,0.09033232
bh.mp3,[103.359375],1865.0564652675334,2027.4885642405006,3766.7514903252822,0.09142199804595674,0.30709556,0.0857082
im.mp3,[60.09265988],1547.466654234267,1474.9411762899547,2845.114778359031,0.10285741327092511,0.29064658,0.07037324
sy.mp3,[86.1328125],1662.7523333211352,1802.9820830726103,3252.602006205732,0.08516161272516615,0.32611674,0.051335085
pr.mp3,[123.046875],1558.0167498844219,1905.1056920657318,3073.641158521366,0.07493335182938068,0.3197254,0.10359176
vi.mp3,[129.19921875],1686.194039320407,1979.1098057234326,3494.7633059798977,0.08195339661828914,0.32793656,0.104858026
kz.mp3,[107.66601562],1360.085873511918,1540.0676258006354,2626.039821364487,0.0734615347402049,0.2861233,0.082785614
se.mp3,[64.59960938],1620.1512777234273,1842.5717064533583,3183.2072468547076,0.08233459780015902,0.27816904,0.086296536
